code	kline_time	open	high	low	close	volume	amount
301013.SZ	2026-01-05 09:30:00	27.95	27.95	27.6	27.85	790300	21972509
301013.SZ	2026-01-05 09:31:00	27.87	28.14	27.86	28.03	305600	8545152
301013.SZ	2026-01-05 09:32:00	27.92	27.92	27.74	27.76	282400	7854765
301013.SZ	2026-01-05 09:33:00	27.82	27.85	27.77	27.78	244100	6784265
301013.SZ	2026-01-05 09:34:00	27.8	27.94	27.8	27.88	127000	3541455
301013.SZ	2026-01-05 09:35:00	27.88	28.27	27.88	28.27	256200	7203331
301013.SZ	2026-01-05 09:36:00	28.26	28.28	28.12	28.14	207500	5851366
301013.SZ	2026-01-05 09:37:00	28.14	28.25	28.14	28.22	212700	5995888
301013.SZ	2026-01-05 09:38:00	28.17	28.19	28.02	28.07	171600	4821376
301013.SZ	2026-01-05 09:39:00	28.06	28.07	28.02	28.03	68900	1931683
301013.SZ	2026-01-05 09:40:00	28.06	28.06	27.99	28.03	181400	5082755
301013.SZ	2026-01-05 09:41:00	28.03	28.15	28.03	28.13	82700	2322589
301013.SZ	2026-01-05 09:42:00	28.08	28.13	28.06	28.06	74200	2085050
301013.SZ	2026-01-05 09:43:00	28.09	28.25	28.07	28.16	145000	4084178
301013.SZ	2026-01-05 09:44:00	28.16	28.18	28.16	28.16	114400	3222162
301013.SZ	2026-01-05 09:45:00	28.17	28.22	28.12	28.21	165100	4652754
301013.SZ	2026-01-05 09:46:00	28.22	28.3	28.19	28.26	156200	4410637
301013.SZ	2026-01-05 09:47:00	28.26	28.35	28.26	28.3	177100	5011950
301013.SZ	2026-01-05 09:48:00	28.34	28.4	28.3	28.35	192700	5461404
301013.SZ	2026-01-05 09:49:00	28.35	28.35	28.25	28.25	78700	2227203
301013.SZ	2026-01-05 09:50:00	28.31	28.46	28.31	28.36	244400	6936839
301013.SZ	2026-01-05 09:51:00	28.36	28.5	28.36	28.5	212100	6033677
301013.SZ	2026-01-05 09:52:00	28.49	28.49	28.39	28.39	156400	4445627
301013.SZ	2026-01-05 09:53:00	28.39	28.48	28.39	28.4	109900	3125130
301013.SZ	2026-01-05 09:54:00	28.46	28.46	28.38	28.38	99800	2835402
301013.SZ	2026-01-05 09:55:00	28.38	28.39	28.35	28.36	129700	3679435
301013.SZ	2026-01-05 09:56:00	28.34	28.35	28.3	28.33	76300	2160761
301013.SZ	2026-01-05 09:57:00	28.31	28.34	28.29	28.29	83300	2357881
301013.SZ	2026-01-05 09:58:00	28.29	28.4	28.29	28.31	134100	3799143
301013.SZ	2026-01-05 09:59:00	28.31	28.33	28.3	28.32	61200	1732575
301013.SZ	2026-01-05 10:00:00	28.31	28.31	28.28	28.29	91700	2594265
301013.SZ	2026-01-05 10:01:00	28.3	28.32	28.27	28.32	99700	2820415
301013.SZ	2026-01-05 10:02:00	28.32	28.43	28.32	28.42	95900	2722421
301013.SZ	2026-01-05 10:03:00	28.43	28.6	28.43	28.6	445977	12729536
301013.SZ	2026-01-05 10:04:00	28.6	28.6	28.49	28.5	129418	3693653
301013.SZ	2026-01-05 10:05:00	28.52	28.68	28.51	28.67	287305	8217950
301013.SZ	2026-01-05 10:06:00	28.68	28.68	28.55	28.56	112300	3213876
301013.SZ	2026-01-05 10:07:00	28.55	28.55	28.51	28.52	35600	1016148
301013.SZ	2026-01-05 10:08:00	28.53	28.53	28.49	28.52	130600	3723966
301013.SZ	2026-01-05 10:09:00	28.52	28.55	28.47	28.5	101100	2882774
301013.SZ	2026-01-05 10:10:00	28.51	28.51	28.43	28.43	126900	3611041
301013.SZ	2026-01-05 10:11:00	28.48	28.52	28.48	28.51	79600	2268157
301013.SZ	2026-01-05 10:12:00	28.51	28.51	28.46	28.49	66400	1891159
301013.SZ	2026-01-05 10:13:00	28.49	28.5	28.48	28.5	70700	2014174
301013.SZ	2026-01-05 10:14:00	28.5	28.5	28.4	28.42	115500	3284587
301013.SZ	2026-01-05 10:15:00	28.42	28.49	28.41	28.47	72700	2067267
301013.SZ	2026-01-05 10:16:00	28.5	28.53	28.49	28.53	75300	2146487
301013.SZ	2026-01-05 10:17:00	28.52	28.53	28.49	28.49	34600	986210
301013.SZ	2026-01-05 10:18:00	28.5	28.5	28.45	28.48	36400	1036292
301013.SZ	2026-01-05 10:19:00	28.48	28.48	28.46	28.46	46700	1329781
301013.SZ	2026-01-05 10:20:00	28.46	28.47	28.43	28.46	28300	805076
301013.SZ	2026-01-05 10:21:00	28.46	28.47	28.44	28.45	20200	574723
301013.SZ	2026-01-05 10:22:00	28.46	28.5	28.45	28.45	64500	1837028
301013.SZ	2026-01-05 10:23:00	28.49	28.49	28.45	28.45	38200	1087496
301013.SZ	2026-01-05 10:24:00	28.45	28.52	28.45	28.52	100800	2872717
301013.SZ	2026-01-05 10:25:00	28.51	28.52	28.49	28.49	30800	877999
301013.SZ	2026-01-05 10:26:00	28.5	28.63	28.5	28.56	169000	4827742
301013.SZ	2026-01-05 10:27:00	28.6	28.6	28.56	28.56	91100	2604174
301013.SZ	2026-01-05 10:28:00	28.56	28.56	28.53	28.53	40100	1144930
301013.SZ	2026-01-05 10:29:00	28.51	28.51	28.48	28.48	38100	1085759
301013.SZ	2026-01-05 10:30:00	28.48	28.5	28.48	28.49	36200	1031267
301013.SZ	2026-01-05 10:31:00	28.49	28.51	28.49	28.5	26500	755241
301013.SZ	2026-01-05 10:32:00	28.49	28.51	28.49	28.51	63665	1814278
301013.SZ	2026-01-05 10:33:00	28.5	28.5	28.46	28.46	68035	1937334
301013.SZ	2026-01-05 10:34:00	28.45	28.51	28.45	28.5	74800	2130284
301013.SZ	2026-01-05 10:35:00	28.5	28.51	28.49	28.5	35200	1003124
301013.SZ	2026-01-05 10:36:00	28.5	28.5	28.48	28.5	51500	1467311
301013.SZ	2026-01-05 10:37:00	28.5	28.55	28.5	28.55	127500	3635980
301013.SZ	2026-01-05 10:38:00	28.55	28.63	28.55	28.6	114900	3284482
301013.SZ	2026-01-05 10:39:00	28.6	28.6	28.56	28.56	42100	1203582
301013.SZ	2026-01-05 10:40:00	28.55	28.55	28.53	28.54	46200	1318783
301013.SZ	2026-01-05 10:41:00	28.54	28.56	28.54	28.54	25800	736436
301013.SZ	2026-01-05 10:42:00	28.54	28.54	28.51	28.52	32900	938203
301013.SZ	2026-01-05 10:43:00	28.5	28.58	28.5	28.55	97700	2787950
301013.SZ	2026-01-05 10:44:00	28.57	28.58	28.55	28.58	28700	819822
301013.SZ	2026-01-05 10:45:00	28.58	28.62	28.56	28.62	101800	2910379
301013.SZ	2026-01-05 10:46:00	28.61	28.63	28.61	28.62	100400	2873141
301013.SZ	2026-01-05 10:47:00	28.61	28.62	28.57	28.58	42200	1206720
301013.SZ	2026-01-05 10:48:00	28.58	28.58	28.55	28.56	103900	2967818
301013.SZ	2026-01-05 10:49:00	28.56	28.59	28.56	28.58	43300	1237349
301013.SZ	2026-01-05 10:50:00	28.58	28.6	28.57	28.58	43000	1229241
301013.SZ	2026-01-05 10:51:00	28.58	28.59	28.57	28.58	45700	1306067
301013.SZ	2026-01-05 10:52:00	28.58	28.58	28.54	28.54	67800	1936535
301013.SZ	2026-01-05 10:53:00	28.55	28.58	28.55	28.56	61700	1762681
