code	kline_time	open	high	low	close	volume	amount
301013.SZ	2026-04-10 09:30:00	22.74	22.9	22.73	22.81	185545	4228616
301013.SZ	2026-04-10 09:31:00	22.82	22.87	22.82	22.84	79900	1826070
301013.SZ	2026-04-10 09:32:00	22.86	22.87	22.83	22.86	72700	1661163
301013.SZ	2026-04-10 09:33:00	22.85	22.87	22.83	22.85	30400	694806
301013.SZ	2026-04-10 09:34:00	22.84	22.84	22.78	22.81	44700	1020156
301013.SZ	2026-04-10 09:35:00	22.8	22.8	22.74	22.74	32500	740168
301013.SZ	2026-04-10 09:36:00	22.75	22.79	22.75	22.79	16000	364310
301013.SZ	2026-04-10 09:37:00	22.78	22.8	22.75	22.79	50800	1157522
301013.SZ	2026-04-10 09:38:00	22.79	22.79	22.76	22.76	33200	755970
301013.SZ	2026-04-10 09:39:00	22.78	22.83	22.78	22.83	29300	668093
301013.SZ	2026-04-10 09:40:00	22.83	22.83	22.8	22.8	22100	504207
301013.SZ	2026-04-10 09:41:00	22.8	22.81	22.78	22.79	28300	645164
301013.SZ	2026-04-10 09:42:00	22.8	22.82	22.8	22.82	17600	401409
301013.SZ	2026-04-10 09:43:00	22.83	22.83	22.8	22.8	18800	428821
301013.SZ	2026-04-10 09:44:00	22.81	22.85	22.81	22.85	26900	614041
301013.SZ	2026-04-10 09:45:00	22.85	22.87	22.84	22.86	32200	735992
301013.SZ	2026-04-10 09:46:00	22.88	22.88	22.84	22.85	29200	667579
301013.SZ	2026-04-10 09:47:00	22.83	22.88	22.83	22.87	18200	416077
301013.SZ	2026-04-10 09:48:00	22.86	22.88	22.86	22.88	29400	672552
301013.SZ	2026-04-10 09:49:00	22.88	22.88	22.85	22.85	28300	646844
301013.SZ	2026-04-10 09:50:00	22.85	22.88	22.85	22.85	33700	770232
301013.SZ	2026-04-10 09:51:00	22.84	22.86	22.84	22.84	26200	598559
301013.SZ	2026-04-10 09:52:00	22.84	22.85	22.83	22.83	34100	778693
301013.SZ	2026-04-10 09:53:00	22.83	22.84	22.83	22.84	6500	148410
301013.SZ	2026-04-10 09:54:00	22.84	22.86	22.84	22.86	15200	347354
301013.SZ	2026-04-10 09:55:00	22.87	22.87	22.84	22.84	59000	1348669
301013.SZ	2026-04-10 09:56:00	22.83	22.88	22.83	22.88	29000	663119
301013.SZ	2026-04-10 09:57:00	22.87	22.89	22.85	22.89	14300	327134
301013.SZ	2026-04-10 09:58:00	22.89	22.9	22.89	22.9	22200	508228
301013.SZ	2026-04-10 09:59:00	22.9	22.91	22.89	22.9	27700	634315
301013.SZ	2026-04-10 10:00:00	22.91	22.91	22.89	22.89	31400	718915
301013.SZ	2026-04-10 10:01:00	22.89	22.89	22.86	22.87	43500	995307
301013.SZ	2026-04-10 10:02:00	22.87	22.87	22.86	22.87	17000	388747
301013.SZ	2026-04-10 10:03:00	22.88	22.88	22.86	22.86	28100	642636
301013.SZ	2026-04-10 10:04:00	22.86	22.87	22.85	22.86	26700	610228
301013.SZ	2026-04-10 10:05:00	22.86	22.89	22.86	22.89	13800	315595
301013.SZ	2026-04-10 10:06:00	22.89	22.89	22.88	22.88	11800	270040
301013.SZ	2026-04-10 10:07:00	22.88	22.95	22.88	22.92	43600	999028
301013.SZ	2026-04-10 10:08:00	22.93	22.93	22.92	22.92	22600	518149
301013.SZ	2026-04-10 10:09:00	22.91	22.93	22.9	22.9	20200	462683
301013.SZ	2026-04-10 10:10:00	22.91	22.91	22.88	22.88	45600	1043681
301013.SZ	2026-04-10 10:11:00	22.88	22.89	22.87	22.89	25100	574300
301013.SZ	2026-04-10 10:12:00	22.9	22.9	22.85	22.85	39200	896660
301013.SZ	2026-04-10 10:13:00	22.85	22.85	22.84	22.84	28400	648866
301013.SZ	2026-04-10 10:14:00	22.85	22.85	22.82	22.82	24900	568523
301013.SZ	2026-04-10 10:15:00	22.82	22.83	22.82	22.83	40000	912920
301013.SZ	2026-04-10 10:16:00	22.84	22.84	22.81	22.81	39900	910845
301013.SZ	2026-04-10 10:17:00	22.81	22.82	22.8	22.8	31800	725315
301013.SZ	2026-04-10 10:18:00	22.81	22.81	22.78	22.79	17800	405712
301013.SZ	2026-04-10 10:19:00	22.79	22.81	22.78	22.79	33500	763422
301013.SZ	2026-04-10 10:20:00	22.79	22.8	22.79	22.8	16800	382908
301013.SZ	2026-04-10 10:21:00	22.8	22.8	22.74	22.74	55700	1268087
301013.SZ	2026-04-10 10:22:00	22.75	22.79	22.75	22.77	37300	849421
301013.SZ	2026-04-10 10:23:00	22.79	22.83	22.79	22.81	89400	2038048
301013.SZ	2026-04-10 10:24:00	22.82	22.82	22.8	22.81	15200	346701
