	INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
0	000300.SH	000001.SZ	20260512	19405918198		9702959099	1	0.4041	11.25
206	000300.SH	601127.SH	20260512	1633366086		816683043	1	0.2622	86.75
204	000300.SH	601111.SH	20260512	12492810328		3747843098	1	0.0979	7.06
203	000300.SH	601100.SH	20260512	1340820992		536328397	1	0.2233	112.5
202	000300.SH	601088.SH	20260512	17854286401		3570857280	1	0.5974	45.2
201	000300.SH	601077.SH	20260512	8843663959		5306198375	1	0.1351	6.88
200	000300.SH	601066.SH	20260512	6495671035		1299134207	1	0.1108	23.04
199	000300.SH	601059.SH	20260512	3243000000		972900000	1	0.0618	17.16
198	000300.SH	601058.SH	20260512	3288100259		2630480207	1	0.1293	13.28
197	000300.SH	601021.SH	20260512	978333423		489166712	1	0.0842	46.48
196	000300.SH	601018.SH	20260512	19454388399		3890877680	1	0.054	3.75
195	000300.SH	601012.SH	20260512	7578060130		6062448104	1	0.3748	16.7
194	000300.SH	601009.SH	20260512	12363567245		6181783623	1	0.2565	11.21
193	000300.SH	601006.SH	20260512	20147177716		12088306630	1	0.2425	5.42
192	000300.SH	600999.SH	20260512	7422005272		3711002636	1	0.2236	16.28
191	000300.SH	600989.SH	20260512	7333360000		2200008000	1	0.2291	28.13
190	000300.SH	600958.SH	20260512	7469482864		5228638005	1	0.191	9.87
205	000300.SH	601117.SH	20260512	6106877362		3664126417	1	0.1139	8.4
207	000300.SH	601136.SH	20260512	2733333800		546666760	1	0.034	16.82
188	000300.SH	600938.SH	20260512	2990000000		2392000000	1	0.3204	36.19
208	000300.SH	601138.SH	20260512	19858183781		3971636756	1	0.9468	64.4
223	000300.SH	601360.SH	20260512	6999557879		3499778940	1	0.1477	11.4
222	000300.SH	601336.SH	20260512	2085439340		834175736	1	0.2015	65.26
221	000300.SH	601328.SH	20260512	53351921593		26675960797	1	0.6586	6.67
220	000300.SH	601319.SH	20260512	35497756583		3194798092	1	0.0879	7.43
219	000300.SH	601318.SH	20260512	10660065083		10660065083	1	2.3439	59.4
218	000300.SH	601298.SH	20260512	5392075000		700969750	1	0.0235	9.07
217	000300.SH	601288.SH	20260512	319244210777		28731978970	1	0.7211	6.78
216	000300.SH	601238.SH	20260512	7383697595		2215109279	1	0.0557	6.79
215	000300.SH	601236.SH	20260512	4716787742		1415036323	1	0.0396	7.56
214	000300.SH	601229.SH	20260512	14208999583		9946299708	1	0.3417	9.28
213	000300.SH	601225.SH	20260512	9695000000		3878000000	1	0.3415	23.79
212	000300.SH	601211.SH	20260512	14123165981		11298532785	1	0.6733	16.1
211	000300.SH	601186.SH	20260512	11503245500		4601298200	1	0.1151	6.76
210	000300.SH	601169.SH	20260512	21142984272		14800088990	1	0.2882	5.26
209	000300.SH	601166.SH	20260512	21162851947		16930281558	1	1.1124	17.75
189	000300.SH	600941.SH	20260512	902767867		902767867	1	0.3254	97.37
187	000300.SH	600930.SH	20260512	41714285714		2920000000	1	0.07	6.48
1	000300.SH	000002.SZ	20260512	9724196533		6806937573	1	0.1033	4.1
168	000300.SH	600600.SH	20260512	709125943		354562972	1	0.0824	62.76
166	000300.SH	600585.SH	20260512	3999702579		2399821547	1	0.19	21.39
165	000300.SH	600584.SH	20260512	1789414570		1431531656	1	0.2927	55.24
164	000300.SH	600570.SH	20260512	1894130907		1515304726	1	0.1537	27.4
163	000300.SH	600547.SH	20260512	3614443347		1807221674	1	0.233	34.83
162	000300.SH	600522.SH	20260512	3412949652		2730359722	1	0.4455	44.08
161	000300.SH	600519.SH	20260512	1252270215		626135108	1	3.1394	1354.55
160	000300.SH	600515.SH	20260512	11425309602		5712654801	1	0.0732	3.46
159	000300.SH	600489.SH	20260512	4847312564		2908387538	1	0.2888	26.83
158	000300.SH	600482.SH	20260512	2253549842		1126774921	1	0.1569	37.63
157	000300.SH	600460.SH	20260512	1664071845		1164850292	1	0.1303	30.21
156	000300.SH	600438.SH	20260512	4501989837		2701193902	1	0.1699	16.99
155	000300.SH	600436.SH	20260512	603317210		301658605	1	0.1558	139.52
154	000300.SH	600426.SH	20260512	2123219998		1486253999	1	0.1925	34.99
153	000300.SH	600415.SH	20260512	5483559226		2741779613	1	0.1313	12.94
152	000300.SH	600406.SH	20260512	8032088259		4016044130	1	0.3999	26.9
167	000300.SH	600588.SH	20260512	3416997409		2050198445	1	0.0903	11.9
169	000300.SH	600660.SH	20260512	2002986332		1602389066	1	0.3526	59.45
186	000300.SH	600926.SH	20260512	7249002548		5074301784	1	0.312	16.61
170	000300.SH	600674.SH	20260512	4874606828		1949842731	1	0.1117	15.47
185	000300.SH	600919.SH	20260512	18351324463		14681059570	1	0.6141	11.3
184	000300.SH	600918.SH	20260512	7918340996		3167336398	1	0.0709	6.05
183	000300.SH	600905.SH	20260512	28587650142		14293825071	1	0.2222	4.2
182	000300.SH	600900.SH	20260512	24468217716		12234108858	1	1.2245	27.04
181	000300.SH	600893.SH	20260512	2665594238		1332797119	1	0.2403	48.7
180	000300.SH	600887.SH	20260512	6325360667		6325360667	1	0.6558	28.01
179	000300.SH	600886.SH	20260512	8004494262		2401348279	1	0.1206	13.57
178	000300.SH	600875.SH	20260512	3050360326		1220144130	1	0.1739	38.5
177	000300.SH	600845.SH	20260512	2146928818		858771527	1	0.0753	23.69
176	000300.SH	600809.SH	20260512	1219964222		487985689	1	0.2475	137.01
175	000300.SH	600803.SH	20260512	3097087607		929126282	1	0.0711	20.66
174	000300.SH	600795.SH	20260512	17835619082		8917809541	1	0.1647	4.99
173	000300.SH	600760.SH	20260512	2835094714		850528414	1	0.1571	49.91
172	000300.SH	600741.SH	20260512	3152723984		1576361992	1	0.1056	18.1
171	000300.SH	600690.SH	20260512	6253028411		3751817047	1	0.2947	21.22
224	000300.SH	601377.SH	20260512	8635987294		6908789835	1	0.157	6.14
225	000300.SH	601390.SH	20260512	20478895629		10239447815	1	0.1944	5.13
226	000300.SH	601398.SH	20260512	269612212539		32353465505	1	0.8958	7.48
281	000300.SH	688008.SH	20260512	1145151330		1145151330	1	1.0203	240.7
279	000300.SH	605117.SH	20260512	907766493		363106597	1	0.2135	158.82
278	000300.SH	603993.SH	20260512	17460842176		8730421088	1	0.6651	20.58
277	000300.SH	603986.SH	20260512	667849351		667849351	1	0.874	353.55
276	000300.SH	603893.SH	20260512	420919050		210459525	1	0.1398	179.43
275	000300.SH	603799.SH	20260512	1896097297		1516877838	1	0.353	62.87
274	000300.SH	603501.SH	20260512	1209404099		846582869	1	0.3237	103.31
273	000300.SH	603392.SH	20260512	1265122774		379536832	1	0.0608	43.31
272	000300.SH	603369.SH	20260512	1246800037		748080022	1	0.0797	28.8
271	000300.SH	603296.SH	20260512	1015732344		406292938	1	0.1649	109.63
270	000300.SH	603288.SH	20260512	5560600544		1668180163	1	0.2337	37.84
269	000300.SH	603260.SH	20260512	1182206941		354662082	1	0.0584	44.5
268	000300.SH	603259.SH	20260512	2473280246		2473280246	1	1.0101	110.33
267	000300.SH	603195.SH	20260512	1808587688		271288153	1	0.0438	43.64
266	000300.SH	603019.SH	20260512	1463115784		1463115784	1	0.5276	97.42
265	000300.SH	601998.SH	20260512	40762999287		5299189907	1	0.1618	8.25
280	000300.SH	605499.SH	20260512	520013000		208005200	1	0.1499	194.72
282	000300.SH	688009.SH	20260512	8621018000		2586305400	1	0.0486	5.08
227	000300.SH	601456.SH	20260512	5237952806		1571385842	1	0.0562	9.67
283	000300.SH	688012.SH	20260512	626145307		438301715	1	0.6302	388.45
298	000300.SH	688506.SH	20260512	412873817		82574763	1	0.0804	263.1
297	000300.SH	688472.SH	20260512	3688217324		1475286930	1	0.0845	15.47
296	000300.SH	688396.SH	20260512	1327529398		531011759	1	0.1197	60.91
295	000300.SH	688303.SH	20260512	2145205724		643561717	1	0.0531	22.3
294	000300.SH	688271.SH	20260512	824157988		494494793	1	0.2096	114.52
293	000300.SH	688256.SH	20260512	628292969		314146485	1	1.486	1277.87
292	000300.SH	688223.SH	20260512	10005202678		4002081071	1	0.1099	7.42
291	000300.SH	688187.SH	20260512	868907512		260672254	1	0.0477	49.41
