INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	000009.SZ	20260513	2579213965	70	1805449776	1	0.1374	8.43
000905.SH	600968.SH	20260513	10165104199	20	2033020840	1	0.0762	4.15
000905.SH	601099.SH	20260513	6816316370	100	6816316370	1	0.2313	3.76
000905.SH	601098.SH	20260513	1796000000	40	718400000	1	0.0757	11.68
000905.SH	601061.SH	20260513	4900000000	11	539000000	1	0.0708	14.56
000905.SH	601019.SH	20260513	2086900000	30	626070000	1	0.0425	7.52
000905.SH	601016.SH	20260513	6440379790	60	3864227874	1	0.1786	5.12
000905.SH	601001.SH	20260513	1673700000	50	836850000	1	0.1351	17.88
000905.SH	601000.SH	20260513	5925928614	50	2962964307	1	0.127	4.75
000905.SH	600998.SH	20260513	5042470234	50	2521235117	1	0.1154	5.07
000905.SH	600995.SH	20260513	3196005805	30	958801742	1	0.13	15.02
000905.SH	600988.SH	20260513	1663911378	100	1663911378	1	0.6151	40.95
000905.SH	600985.SH	20260513	2693258709	40	1077303484	1	0.1317	13.54
000905.SH	600977.SH	20260513	1867000000	40	746800000	1	0.0966	14.33
000905.SH	600970.SH	20260513	2621819524	50	1310909762	1	0.1085	9.17
000905.SH	600967.SH	20260513	1701794667	50	850897334	1	0.1132	14.74
000905.SH	600816.SH	20260513	9844448254	40	3937779302	1	0.112	3.15
000905.SH	600959.SH	20260513	5000717686	50	2500358843	1	0.0889	3.94
000905.SH	600927.SH	20260513	1455555556	20	291111111	1	0.0388	14.75
000905.SH	600909.SH	20260513	5024209278	60	3014525567	1	0.1584	5.82
000905.SH	600906.SH	20260513	3245000000	40	1298000000	1	0.078	6.66
000905.SH	600901.SH	20260513	5791866431	40	2316746572	1	0.1378	6.59
000905.SH	600885.SH	20260513	1547594313	80	1238075450	1	0.3608	32.28
000905.SH	600884.SH	20260513	2249412863	80	1799530290	1	0.2619	16.12
000905.SH	600879.SH	20260513	3299299334	80	2639439467	1	0.6199	26.02
000905.SH	600873.SH	20260513	2804241650	70	1962969155	1	0.1682	9.49
000905.SH	600871.SH	20260513	13547012351	30	4064103705	1	0.095	2.59
000905.SH	600863.SH	20260513	7835189560	40	3134075824	1	0.1375	4.86
000905.SH	600862.SH	20260513	1393049107	60	835829464	1	0.1594	21.13
000905.SH	600848.SH	20260513	2393912273	40	957564909	1	0.0787	9.1
000905.SH	601106.SH	20260513	6857782927	50	3428891464	1	0.1414	4.57
000905.SH	601108.SH	20260513	4643762406	70	3250633684	1	0.2585	8.81
000905.SH	601118.SH	20260513	4279427797	40	1711771119	1	0.1128	7.3
000905.SH	601128.SH	20260513	3316515911	100	3316515911	1	0.217	7.25
000905.SH	601799.SH	20260513	285679419	50	142839710	1	0.178	138.08
000905.SH	601717.SH	20260513	1542165730	70	1079516011	1	0.1794	18.41
000905.SH	601699.SH	20260513	2991409200	40	1196563680	1	0.1647	15.25
000905.SH	601696.SH	20260513	2778000000	60	1666800000	1	0.1911	12.7
000905.SH	601666.SH	20260513	2469357013	60	1481614208	1	0.1073	8.02
000905.SH	601665.SH	20260513	6153842525	70	4307689768	1	0.2481	6.38
000905.SH	601615.SH	20260513	2261496706	80	1809197365	1	0.2683	16.43
000905.SH	601611.SH	20260513	3013834212	40	1205533685	1	0.149	13.69
000905.SH	601608.SH	20260513	4579553437	40	1831821375	1	0.1012	6.12
000905.SH	601598.SH	20260513	5163352805	30	1549005842	1	0.0856	6.12
000905.SH	601577.SH	20260513	4021553754	60	2412932252	1	0.2078	9.54
000905.SH	601567.SH	20260513	1405209400	50	702604700	1	0.122	19.23
000905.SH	601555.SH	20260513	4968702837	80	3974962270	1	0.3082	8.59
000905.SH	601399.SH	20260513	7213555890	40	2885422356	1	0.1112	4.27
000905.SH	601333.SH	20260513	5652237000	60	3391342200	1	0.0973	3.18
000905.SH	601233.SH	20260513	2404779773	60	1442867864	1	0.2855	21.92
000905.SH	601231.SH	20260513	2389105078	30	716731523	1	0.2766	42.76
000905.SH	601228.SH	20260513	7544531351	20	1508906270	1	0.0441	3.24
000905.SH	601216.SH	20260513	8438017390	40	3375206956	1	0.1673	5.49
000905.SH	601212.SH	20260513	7404774511	40	2961909804	1	0.2107	7.88
000905.SH	601198.SH	20260513	3232445520	60	1939467312	1	0.2318	13.24
000905.SH	601179.SH	20260513	5125882352	50	2562941176	1	0.4442	19.2
000905.SH	601168.SH	20260513	2383000000	70	1668100000	1	0.5032	33.42
000905.SH	601162.SH	20260513	10073985234	70	7051789664	1	0.2432	3.82
000905.SH	601156.SH	20260513	1587555556	40	635022222	1	0.0927	16.17
000905.SH	601155.SH	20260513	2260535439	40	904214176	1	0.1321	16.19
000905.SH	601139.SH	20260513	2876741752	30	863022526	1	0.0519	6.66
000905.SH	600820.SH	20260513	3144096094	70	2200867266	1	0.118	5.94
000905.SH	600808.SH	20260513	5967751186	40	2387100474	1	0.0804	3.73
000905.SH	000021.SZ	20260513	1560587588	70	1092411312	1	0.3186	32.31
000905.SH	600398.SH	20260513	4802770296	50	2401385148	1	0.1335	6.16
000905.SH	600535.SH	20260513	1493950005	50	746975003	1	0.1006	14.92
000905.SH	600528.SH	20260513	2221551588	50	1110775794	1	0.0789	7.87
000905.SH	600521.SH	20260513	1497251442	70	1048076009	1	0.1617	17.09
000905.SH	600517.SH	20260513	5718435744	30	1715530723	1	0.0921	5.95
